,precision,recall,f1-score,support
airport,0.5,0.3939393939393939,0.4406779661016949,33.0
shopping_mall,0.39344262295081966,0.7272727272727273,0.5106382978723404,33.0
park,0.7391304347826086,0.5151515151515151,0.6071428571428571,33.0
street_pedestrian,0.75,0.09090909090909091,0.16216216216216217,33.0
street_traffic,0.3888888888888889,0.21212121212121213,0.27450980392156865,33.0
metro_station,0.2826086956521739,0.3939393939393939,0.3291139240506329,33.0
public_square,0.14285714285714285,0.36363636363636365,0.20512820512820512,33.0
metro,0.40625,0.3939393939393939,0.4,33.0
bus,0.0,0.0,0.0,33.0
tram,0.2777777777777778,0.30303030303030304,0.2898550724637681,33.0
accuracy,0.3393939393939394,0.3393939393939394,0.3393939393939394,0.3393939393939394
macro avg,0.38809555629094117,0.3393939393939394,0.3219228288843229,330.0
weighted avg,0.38809555629094117,0.3393939393939394,0.32192282888432294,330.0
