epoch,classification_loss,adversarial_loss,entropy_loss,source_accuracy,target_accuracy,feature_extractor_grad_norm,classifier_grad_norm,discriminator_grad_norm
1,2.2782539993524553,0.0,0.0,20.90909090909091,20.90909090909091,0.3038962191166043,0.23012542492051566,0.0
2,2.2339839816093443,0.0,0.0,26.666666666666668,18.484848484848484,0.5555518874304152,0.35394029568115093,0.0
3,2.187538468837738,0.0,0.0,43.93939393939394,14.848484848484848,0.7919502139401918,0.3845134688920467,0.0
4,2.1311770021915435,0.0,0.0,46.06060606060606,21.818181818181817,1.1427363533353891,0.47326708290117514,0.0
5,2.0863245248794557,0.0,0.0,42.121212121212125,22.727272727272727,1.3283045363550197,0.4984293941384562,0.0
6,2.0615073293447495,0.0,0.0,49.696969696969695,18.484848484848484,1.3733771296616566,0.5232071026101727,0.0
7,2.0445539519190787,0.0,0.0,48.78787878787879,20.303030303030305,1.467598696736358,0.5535045072036455,0.0
8,2.022132287919521,0.0,0.0,46.36363636363637,22.12121212121212,1.353764358536926,0.5647555231595184,0.0
9,2.0124786287546157,0.0,0.0,49.39393939393939,20.0,1.4903679550004687,0.5785552591142149,0.0
10,2.0087291836738586,0.0,0.0,47.27272727272727,19.696969696969695,1.5247461569884613,0.59589038973627,0.0
11,1.986837974190712,0.0,0.0,50.90909090909091,22.424242424242426,1.349090016823952,0.5881665284668586,0.0
12,1.9820660695433616,0.0,0.0,52.42424242424242,21.21212121212121,1.4355298225957454,0.6078562696002522,0.0
13,1.9749420672655105,0.0,0.0,54.24242424242424,20.90909090909091,1.4825684816964206,0.5992508905466785,0.0
14,1.971122857928276,0.0,0.0,53.93939393939394,21.818181818181817,1.5302503136642902,0.5971587510444718,0.0
15,1.973999162018299,0.0,0.0,49.696969696969695,19.09090909090909,1.4815232439849226,0.5999044513816559,0.0
16,1.9610283598303795,0.0,0.0,50.303030303030305,19.09090909090909,1.440333648264699,0.6131524847607371,0.0
17,1.9655878737568855,0.0,0.0,53.63636363636363,22.424242424242426,1.5394409881631739,0.6387539250241132,0.0
18,1.955475963652134,0.0,0.0,54.54545454545455,21.515151515151516,1.4453411509404184,0.6262308616397435,0.0
19,1.9570635080337524,0.0,0.0,56.36363636363637,24.848484848484848,1.367633081305009,0.604451594503339,0.0
20,1.9427717462182046,0.0,0.0,59.09090909090909,18.484848484848484,1.4756364967990598,0.5936473181254306,0.0
21,1.933328667283058,0.0,0.0,53.93939393939394,24.848484848484848,1.3829414246750538,0.5920275214236931,0.0
22,1.9455249086022377,0.0,0.0,57.57575757575758,23.03030303030303,1.6095664932810396,0.5969369863084565,0.0
23,1.9353947058320045,0.0,0.0,52.42424242424242,22.12121212121212,1.4672265023454902,0.6162040574135619,0.0
24,1.9314109906554222,0.0,0.0,54.54545454545455,24.545454545454547,1.4470279617631134,0.5945121561580275,0.0
25,1.9344483599066735,0.0,0.0,56.666666666666664,24.848484848484848,1.5160169675720108,0.6114910353415474,0.0
26,1.9267105147242547,0.0,0.0,53.93939393939394,20.606060606060606,1.368157407268836,0.6226614490914856,0.0
27,1.9239845082163811,0.0,0.0,55.75757575757576,22.727272727272727,1.3874227158491261,0.603290924459166,0.0
28,1.918121835589409,0.0,0.0,54.54545454545455,22.727272727272727,1.3364228429689398,0.5797677227598954,0.0
29,1.927784150838852,0.0,0.0,55.45454545454545,23.636363636363637,1.5214947295425585,0.6200680954893026,0.0
30,1.9176383897662164,0.0,0.0,55.75757575757576,21.818181818181817,1.3786612489819783,0.5960800191637745,0.0
31,1.9213461443781852,0.0,0.0,54.24242424242424,22.727272727272727,1.4005614534102988,0.6155628088122406,0.0
32,1.9132419958710671,0.0,0.0,55.15151515151515,21.515151515151516,1.3342404420823235,0.6057492166741298,0.0
33,1.9070979624986648,0.0,0.0,58.78787878787879,25.454545454545453,1.3506534754352315,0.5957741167897814,0.0
34,1.9122614413499832,0.0,0.0,59.09090909090909,23.333333333333332,1.3885648557867243,0.6078709679076252,0.0
