epoch,classification_loss,adversarial_loss,entropy_loss,source_accuracy,target_accuracy,feature_extractor_grad_norm,classifier_grad_norm,discriminator_grad_norm
10,26.921977698802948,0.0,0.0,49.39393939393939,32.52279635258358,17.794815587269767,7.1363175195944955,0.0
20,26.05491816997528,0.0,0.0,55.75757575757576,32.21884498480243,17.406158064094768,7.208493068531681,0.0
30,25.705700357755024,0.0,0.0,55.75757575757576,33.73860182370821,17.587264361936214,7.425074637308607,0.0
40,25.42832589149475,0.0,0.0,57.57575757575758,34.346504559270514,19.580687889730736,7.536170766745894,0.0
50,25.183359523614246,0.0,0.0,56.666666666666664,42.24924012158055,17.27959234864686,7.673109758707714,0.0
60,25.069499989350636,0.0,0.0,61.21212121212121,41.03343465045592,17.528867389322304,7.383851839545417,0.0
70,24.82441782951355,0.0,0.0,60.0,36.474164133738604,16.313026227374955,7.301915612259307,0.0
80,24.81101816892624,0.0,0.0,59.696969696969695,40.121580547112465,16.038304356767494,7.502312410947771,0.0
90,24.60205801328023,0.0,0.0,60.303030303030305,36.474164133738604,17.27545128751608,7.760353494716622,0.0
100,24.543470680713654,0.0,0.0,57.878787878787875,41.03343465045592,17.08515193124013,7.478028806196634,0.0
110,24.37578547000885,0.0,0.0,61.21212121212121,34.650455927051674,16.038709015252646,7.242099278588988,0.0
