epoch,classification_loss,adversarial_loss,entropy_loss,source_accuracy,target_accuracy,feature_extractor_grad_norm,classifier_grad_norm,discriminator_grad_norm
10,26.814214805761974,0.0,0.0,50.60606060606061,18.78787878787879,18.21307899124996,7.150592055602826,0.0
20,25.985958496729534,0.0,0.0,52.72727272727273,21.818181818181817,20.222398315692022,8.013609487220153,0.0
30,25.629200915495556,0.0,0.0,51.515151515151516,23.636363636363637,18.821979735232656,7.649784954089546,0.0
40,25.394384066263836,0.0,0.0,56.06060606060606,24.242424242424242,17.831345883274377,7.497933618016606,0.0
50,25.18283478418986,0.0,0.0,55.75757575757576,30.303030303030305,18.070856482192408,7.642136852223018,0.0
60,24.965738892555237,0.0,0.0,58.78787878787879,23.03030303030303,15.928401847117533,7.618319985607665,0.0
70,24.99251663684845,0.0,0.0,57.27272727272727,28.181818181818183,18.05642468216711,7.910128720805067,0.0
80,24.698730786641438,0.0,0.0,58.78787878787879,27.87878787878788,15.684523702463329,7.36598813358536,0.0
90,24.643673876921337,0.0,0.0,61.21212121212121,28.78787878787879,15.742334594545765,7.535304489514428,0.0
100,24.58346974849701,0.0,0.0,59.39393939393939,24.848484848484848,17.556337060171753,7.58911989960318,0.0
110,24.324020226796467,0.0,0.0,62.72727272727273,23.636363636363637,16.338526478402205,7.382715909690155,0.0
