epoch,classification_loss,adversarial_loss,entropy_loss,source_accuracy,target_accuracy,feature_extractor_grad_norm,classifier_grad_norm,discriminator_grad_norm
10,26.74587635199229,0.0,0.0,50.303030303030305,38.297872340425535,16.536620173742374,7.681419080237963,0.0
20,25.943844616413116,0.0,0.0,56.666666666666664,46.20060790273556,17.999744550249066,7.923730195622249,0.0
30,25.66152761379878,0.0,0.0,58.484848484848484,44.37689969604863,17.32672699309957,7.851617479876854,0.0
40,25.39751559495926,0.0,0.0,56.666666666666664,44.07294832826748,17.08664091683539,7.458483283047676,0.0
50,25.181119163831074,0.0,0.0,58.484848484848484,45.2887537993921,15.761727139698081,7.626756092386312,0.0
60,25.005886793136597,0.0,0.0,58.484848484848484,46.808510638297875,16.327461873941555,7.844505706808422,0.0
70,24.86572229862213,0.0,0.0,58.78787878787879,48.632218844984806,15.625676814607301,7.618559367227363,0.0
80,24.771270910898846,0.0,0.0,59.39393939393939,47.72036474164134,15.739744721877448,7.685977834673692,0.0
90,24.614377121130627,0.0,0.0,60.0,49.54407294832827,15.61965221481536,7.408125269244575,0.0
100,24.447671552499134,0.0,0.0,60.60606060606061,47.72036474164134,15.519430472702672,7.553160802013594,0.0
110,24.389485736687977,0.0,0.0,60.90909090909091,46.808510638297875,15.29780197239586,7.449336332466545,0.0
120,24.31572288274765,0.0,0.0,60.303030303030305,46.504559270516715,14.998158560046214,7.027895086129259,0.0
130,24.061155478159588,0.0,0.0,61.81818181818182,45.59270516717325,15.360316830850747,7.42558520598443,0.0
140,24.073120673497517,0.0,0.0,60.303030303030305,46.20060790273556,15.501009873614132,7.548683513154558,0.0
150,23.970593372980755,0.0,0.0,60.60606060606061,43.76899696048632,15.145696357444974,7.398601202575876,0.0
160,23.901049315929413,0.0,0.0,64.24242424242425,50.151975683890576,15.840531755943942,7.353824538785724,0.0
