,precision,recall,f1-score,support
airport,0.38461538461538464,0.15151515151515152,0.21739130434782608,33.0
bus,1.0,0.12121212121212122,0.21621621621621623,33.0
metro,0.42857142857142855,0.5454545454545454,0.48,33.0
metro_station,0.2894736842105263,0.6666666666666666,0.4036697247706422,33.0
park,0.7619047619047619,0.48484848484848486,0.5925925925925926,33.0
public_square,0.2037037037037037,0.3333333333333333,0.25287356321839083,33.0
shopping_mall,0.3870967741935484,0.7272727272727273,0.5052631578947369,33.0
street_pedestrian,0.5714285714285714,0.12121212121212122,0.2,33.0
street_traffic,0.8,0.36363636363636365,0.5,33.0
tram,0.3888888888888889,0.42424242424242425,0.4057971014492754,33.0
accuracy,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939
macro avg,0.5215683197516814,0.3939393939393939,0.37738036604896796,330.0
weighted avg,0.5215683197516814,0.3939393939393939,0.3773803660489681,330.0
