,precision,recall,f1-score,support
airport,0.5,0.15151515151515152,0.23255813953488372,33.0
bus,1.0,0.24242424242424243,0.3902439024390244,33.0
metro,0.4444444444444444,0.48484848484848486,0.463768115942029,33.0
metro_station,0.3333333333333333,0.7575757575757576,0.46296296296296297,33.0
park,1.0,0.5454545454545454,0.7058823529411765,33.0
public_square,0.3392857142857143,0.5757575757575758,0.42696629213483145,33.0
shopping_mall,0.41818181818181815,0.696969696969697,0.5227272727272727,33.0
street_pedestrian,0.3333333333333333,0.06060606060606061,0.10256410256410256,33.0
street_traffic,0.85,0.5151515151515151,0.6415094339622641,33.0
tram,0.5,0.696969696969697,0.5822784810126582,33.0
accuracy,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.4727272727272727
macro avg,0.5718578643578643,0.47272727272727266,0.45314610562212054,330.0
weighted avg,0.5718578643578643,0.4727272727272727,0.4531461056221206,330.0
