,precision,recall,f1-score,support
airport,0.5306122448979592,0.7878787878787878,0.6341463414634146,33.0
bus,1.0,0.36363636363636365,0.5333333333333333,33.0
metro,0.6111111111111112,0.6666666666666666,0.6376811594202898,33.0
metro_station,0.7857142857142857,0.6666666666666666,0.7213114754098361,33.0
park,1.0,0.3333333333333333,0.5,33.0
public_square,0.5172413793103449,0.45454545454545453,0.4838709677419355,33.0
shopping_mall,0.5666666666666667,0.5151515151515151,0.5396825396825397,33.0
street_pedestrian,0.75,0.18181818181818182,0.2926829268292683,33.0
street_traffic,0.4155844155844156,0.9696969696969697,0.5818181818181818,33.0
tram,0.54,0.8181818181818182,0.6506024096385542,33.0
accuracy,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758
macro avg,0.6716930103284784,0.5757575757575758,0.5575129335337354,330.0
weighted avg,0.6716930103284784,0.5757575757575758,0.5575129335337353,330.0
