epoch,classification_loss,adversarial_loss,source_accuracy,target_accuracy,feature_extractor_grad_norm,classifier_grad_norm,discriminator_grad_norm
1,2.2923231333494187,0.6934776410460473,18.484848484848484,18.84498480243161,0.1726002900580989,0.19204997679023206,0.008482814992103673
2,2.251198786497116,0.6931336089968682,27.272727272727273,22.796352583586625,0.29176028643254714,0.2713613305199748,0.0031485943034631238
3,2.2114122956991196,0.692057928442955,32.42424242424242,34.04255319148936,0.5727174764387576,0.33437393661926773,0.02065363624868733
4,2.168301725387573,0.6915025115013123,41.21212121212121,37.993920972644375,0.8899873740844066,0.4030277987923263,0.034459657227940726
5,2.1165053844451904,0.6931019373238086,41.81818181818182,41.33738601823708,1.2652910796646464,0.4378031428607976,0.0009146272024678888
6,2.0839823096990586,0.6901628732681274,45.45454545454545,41.33738601823708,1.3247343736461894,0.4710479003422243,0.040296752809186084
7,2.060657986998558,0.6903787091374397,51.515151515151516,44.07294832826748,1.3829946841491683,0.48361780044792557,0.04614495883048304
8,2.042804652452469,0.6921790041029453,47.878787878787875,48.328267477203646,1.4141740461866934,0.5426467736199443,0.0353845993443234
9,2.0235034987330436,0.6924875497817993,50.90909090909091,45.2887537993921,1.4940116253729692,0.5232968160900449,0.019400665362175447
10,2.014894300699234,0.691237648576498,49.696969696969695,48.632218844984806,1.662555249793994,0.5507759177935184,0.04004628002392383
11,2.0080129519104957,0.6915261417627334,48.18181818181818,47.72036474164134,1.5591106547639655,0.5720915468652629,0.04474655933158355
12,2.002842642366886,0.6923643656075,49.696969696969695,45.89665653495441,1.7615191516441677,0.5456228526950776,0.018294222400094953
13,1.9898564845323563,0.6922221153974533,53.333333333333336,48.632218844984806,1.5293679549904382,0.5377872149001205,0.032377022990785743
14,1.9817262426018716,0.6917094714939594,55.75757575757576,49.24012158054711,1.7021963548502612,0.5720346499427361,0.0364562415816686
15,1.9821531772613525,0.6917064338922501,54.24242424242424,47.72036474164134,1.6868632632240619,0.5737208761226249,0.031120772297608713
16,1.977415420114994,0.6917160011827945,55.15151515151515,51.06382978723404,1.683564586650548,0.5747904842717005,0.024515121370595052
17,1.9713214322924615,0.6921311154961586,53.333333333333336,47.41641337386018,1.7503835005760593,0.5571793036380965,0.02758211112615564
18,1.9685883820056915,0.6918001025915146,52.42424242424242,51.06382978723404,1.5588593821389087,0.5375281919767069,0.031045542585650555
19,1.964013470709324,0.6918061718344688,55.45454545454545,49.24012158054711,1.6512769598258672,0.5858631479296975,0.028961846150604216
20,1.952213168144226,0.6924384415149689,53.63636363636363,51.367781155015194,1.4965502500704462,0.544997979499313,0.025602515477983583
21,1.959621360898018,0.6924698002636432,56.96969696969697,49.848024316109424,1.696761278987547,0.5571431465769277,0.019651796532462736
22,1.9490531042218209,0.6915996432304382,57.27272727272727,51.671732522796354,1.4853981613925622,0.5544074026018737,0.037101789423563056
23,1.947819384932518,0.6923568949103356,55.45454545454545,52.27963525835866,1.5522567621568821,0.554927589553704,0.03134679917185753
24,1.9466075360774995,0.6922673903405666,55.75757575757576,49.848024316109424,1.7047204786595178,0.5752314656511305,0.025169335616152304
25,1.943804393708706,0.691555044054985,54.24242424242424,52.88753799392097,1.6253900391462608,0.578657001018724,0.03392336581379881
26,1.9417316511273384,0.6917314060032368,52.42424242424242,49.54407294832827,1.6059504890136214,0.5559466293777127,0.033977074707713786
27,1.9331306889653206,0.6917013674974442,58.484848484848484,50.75987841945289,1.582768126278583,0.5441364034762154,0.03130372524848547
28,1.9380195572972299,0.6919090032577515,56.06060606060606,50.151975683890576,1.698108107122755,0.5653599421232228,0.03278072365956557
29,1.9335081309080124,0.691281097382307,55.75757575757576,49.54407294832827,1.533788006889953,0.5649259478893947,0.03769017437945366
30,1.9356899455189704,0.6920526802539826,55.45454545454545,48.93617021276596,1.7659820713197927,0.5693228674113949,0.03100132921212325
31,1.9275296926498413,0.6923117853701115,55.45454545454545,50.151975683890576,1.5283186960978399,0.563618534880538,0.026028252406746295
32,1.9286540135741235,0.6914045043289662,55.15151515151515,47.11246200607903,1.6347474977548864,0.5738100290954681,0.042172093229412747
33,1.9298240765929222,0.6911621011793614,57.57575757575758,46.808510638297875,1.4941776803976148,0.5699442793773498,0.0429519030564547
34,1.9271457701921464,0.6922902949154377,56.36363636363637,51.367781155015194,1.60050055930562,0.5554085375160425,0.03652624899644712
35,1.9226355031132698,0.6923426270484925,55.15151515151515,52.27963525835866,1.5310786446196838,0.5889757434051287,0.01894110381864164
36,1.9282053589820862,0.6915107436478138,56.36363636363637,50.75987841945289,1.61536241744259,0.5802937590526269,0.040110040289619335
37,1.9232177585363388,0.6923809975385666,55.15151515151515,49.848024316109424,1.4309667828835986,0.5670347413741583,0.03810407893083183
38,1.91872079372406,0.6914554998278618,58.484848484848484,50.45592705167173,1.5284143229247273,0.559240938976913,0.04071707754591634
39,1.913910984992981,0.6903094001114368,57.27272727272727,51.367781155015194,1.5541693462923432,0.5804172414858813,0.053943660349073816
40,1.9219236060976983,0.6928736716508865,57.878787878787875,50.151975683890576,1.575733975700058,0.5747825965833561,0.01849133221824017
41,1.9177197992801667,0.6907542690634727,55.15151515151515,50.151975683890576,1.5546156841816732,0.5757317033045439,0.0472589595542738
42,1.9151652947068214,0.6884567342698574,59.39393939393939,49.24012158054711,1.5097095118575687,0.577848571874864,0.06219112680583577
43,1.91561449021101,0.6907120555639267,59.09090909090909,53.191489361702125,1.6171751671574022,0.5864502862171875,0.05202037298403165
44,1.907849283516407,0.6896924331784249,59.09090909090909,51.367781155015194,1.4257991719033156,0.5653181626329593,0.05833032997715296
45,1.9127582043409348,0.6895469330251217,58.78787878787879,52.88753799392097,1.613183950465885,0.5529186255430016,0.06236274469483828
46,1.9004668802022935,0.6889864683151246,55.15151515151515,51.367781155015194,1.4717789408950799,0.552827746037935,0.061410060122287266
47,1.9092311829328537,0.6896311044692993,57.57575757575758,46.808510638297875,1.4115377157690898,0.569421664442223,0.06421077762521524
48,1.9067406848073005,0.6903608776628971,57.878787878787875,50.75987841945289,1.66056882054851,0.5756759422368557,0.0665793590026592
49,1.9006215661764145,0.6880093097686768,60.0,46.20060790273556,1.4517530550662558,0.5910627178068504,0.07533815831291749
50,1.9057384446263312,0.6907672367990016,56.06060606060606,52.27963525835866,1.5559737129531828,0.57464393567849,0.055374084463143215
51,1.899658350646496,0.6899433881044388,58.18181818181818,50.151975683890576,1.5061178291851365,0.5651040393368054,0.060595135318281854
52,1.9005743741989136,0.689014733582735,54.24242424242424,51.367781155015194,1.6020936366966914,0.5701806061644025,0.06493218611818934
53,1.902546799182892,0.6897188194096089,56.96969696969697,50.75987841945289,1.4895159677011478,0.5850989306365967,0.06661001656420959
54,1.9037557795643807,0.688624382019043,58.78787878787879,49.848024316109424,1.4238019409229534,0.5768178170457751,0.07131259444053466
55,1.897145363688469,0.6891881637275219,56.06060606060606,52.27963525835866,1.651030129314736,0.58827545052425,0.07185030233304796
56,1.9015937820076942,0.6879242323338985,61.21212121212121,52.58358662613982,1.4312685125451359,0.5745760009053336,0.07683208820176043
57,1.8984766110777855,0.690124063193798,60.0,50.75987841945289,1.4587403076761973,0.5674928990608195,0.06263426015674055
58,1.8984691813588142,0.6895739890635013,58.18181818181818,51.97568389057751,1.44434261437396,0.5746263255800901,0.06401411474142302
59,1.8961546033620835,0.6879926562309265,58.484848484848484,51.671732522796354,1.4959882390580432,0.5847295697256609,0.07596904498723414
60,1.8920555993914605,0.6912875704467296,53.63636363636363,45.59270516717325,1.448447324574821,0.5622584979363576,0.05662525602088582
61,1.90126883238554,0.689043614268303,59.39393939393939,50.45592705167173,1.4088106666394693,0.5626118433188759,0.07213410166728385
62,1.8955276697874068,0.688688800483942,56.666666666666664,50.75987841945289,1.4533057882453841,0.5752092318069529,0.08202245921082708
63,1.889330878853798,0.6898290313780308,56.06060606060606,50.45592705167173,1.3946779895685268,0.5620565554282403,0.07884534585411655
64,1.8937319785356521,0.6901699870824813,60.60606060606061,50.75987841945289,1.3997128689007923,0.5666692623686028,0.06443105041343515
65,1.8864217922091484,0.6899028703570366,60.303030303030305,51.06382978723404,1.337426583983355,0.5683480843971396,0.08067784714848282
66,1.8863975718617438,0.6896466113626957,58.18181818181818,51.97568389057751,1.463373209697896,0.5752526618026826,0.07435797057396716
67,1.8904028818011285,0.6888420417904854,57.878787878787875,51.97568389057751,1.5150580398123328,0.5761577162658071,0.08253829004952777
68,1.8911661610007287,0.6903164774179459,60.90909090909091,50.75987841945289,1.4004653975925176,0.5723030373804567,0.06457429772871406
69,1.8878958523273468,0.6872415959835052,57.57575757575758,52.58358662613982,1.4675635344666809,0.5903531461354248,0.08685597342188192
70,1.8832136958837509,0.6892147801816464,59.09090909090909,52.27963525835866,1.4960492884070524,0.5563659679184338,0.08142698387910603
71,1.8828435376286508,0.6891122587025166,57.57575757575758,51.671732522796354,1.3692865345173444,0.5620878356548872,0.08420704813116303
72,1.8769161731004715,0.689605338871479,58.78787878787879,52.58358662613982,1.4267731091576294,0.5704667654649581,0.08432000990583918
73,1.8836116537451744,0.6877196572721005,59.39393939393939,49.848024316109424,1.4102578704609359,0.576359990604154,0.08714388237626816
74,1.8749085173010827,0.686238645017147,57.878787878787875,50.75987841945289,1.3148263829267728,0.5681294981493723,0.10398308929003874
75,1.8883776232600211,0.6863986186683178,58.18181818181818,52.88753799392097,1.4832765737818951,0.5861305677335135,0.10213895426781876
76,1.8808281898498536,0.6880491226911545,58.18181818181818,54.10334346504559,1.311607189665049,0.5726030142084841,0.0889713788354372
77,1.8779087737202644,0.687334629893303,56.666666666666664,47.72036474164134,1.423236701695014,0.5875521917653607,0.09366173229089461
78,1.8724904462695122,0.6851748831570148,60.0,52.88753799392097,1.3791987641923948,0.5729141035617524,0.10008990165652538
79,1.8850115299224854,0.6855424851179123,54.24242424242424,49.54407294832827,1.4563809520377924,0.5867477930614662,0.10163722099512959
80,1.8794091492891312,0.6853081524372101,58.78787878787879,49.848024316109424,1.2769316046309378,0.5699455074712866,0.1011649113216289
81,1.8790115520358086,0.6867687620222569,57.878787878787875,48.632218844984806,1.3945201282329411,0.586514506139524,0.0932448868420693
82,1.8807681530714035,0.683607118576765,60.90909090909091,50.75987841945289,1.4187184055451159,0.5851959030318292,0.1028149416683333
83,1.8765004575252533,0.6856876477599144,58.78787878787879,51.06382978723404,1.3623594061941833,0.5808046774015445,0.10104516044494849
84,1.8746876955032348,0.6846558280289173,57.57575757575758,48.328267477203646,1.417800512050889,0.5699475933434829,0.1031153053522014
85,1.8749055415391922,0.6843892134726047,56.96969696969697,48.632218844984806,1.3473192444253461,0.5712872028849092,0.09819284064399905
86,1.8753759384155273,0.6868139907717705,60.0,50.151975683890576,1.3575029726840913,0.5746694705854869,0.09640595241051535
87,1.86794855594635,0.6843598864972591,58.18181818181818,51.97568389057751,1.3793595463625425,0.5957154467885732,0.10449458553850759
88,1.8812010139226913,0.6841362193226814,56.96969696969697,51.06382978723404,1.4942594391597481,0.5933210657366472,0.09966433628895154
89,1.8720783486962318,0.6821278624236584,59.39393939393939,52.27963525835866,1.2572552409827065,0.5671239553049789,0.11002134274990713
90,1.8695617467164993,0.6839956201612949,57.57575757575758,51.97568389057751,1.2703626994027901,0.5745360141404177,0.0996800948365932
91,1.8689805090427398,0.685965484380722,58.484848484848484,51.367781155015194,1.3084101956156915,0.5739269160835356,0.10014868183297403
92,1.8635252729058265,0.6820732243359089,58.78787878787879,51.671732522796354,1.3030223347710717,0.5936467382260144,0.10853990772921285
93,1.860787358880043,0.6860141150653363,60.0,54.10334346504559,1.2860706201492937,0.569845635481945,0.09388805849108195
94,1.871887856721878,0.6834263443946839,59.696969696969695,49.54407294832827,1.259883094932989,0.5667927042644253,0.10677808196737223
95,1.862559199333191,0.683272934705019,56.666666666666664,52.88753799392097,1.361631467762685,0.575985547090038,0.10349178125063149
96,1.8640344500541688,0.6829602532088757,58.18181818181818,53.79939209726444,1.2526069566939464,0.5848492010751998,0.10817833348258452
97,1.8605261117219924,0.6850854083895683,59.696969696969695,50.151975683890576,1.3015614569745504,0.5747154525712098,0.10646584550314486
98,1.8578201621770858,0.6822206906974315,61.21212121212121,51.671732522796354,1.3794280321252148,0.5750003806763202,0.11206030714468418
99,1.865360501408577,0.6844405107200145,61.21212121212121,51.671732522796354,1.3155509340579254,0.5727249657027402,0.10356247633900884
100,1.8629793688654899,0.686033783107996,58.484848484848484,51.367781155015194,1.3420056575749308,0.5790523728137374,0.10065063911896732
101,1.8657724380493164,0.6817397631704807,57.878787878787875,51.367781155015194,1.4717446035937114,0.5814039823516094,0.10966680495935262
102,1.8651855379343032,0.6838327668607235,59.39393939393939,50.151975683890576,1.3790290658941644,0.5890985142568959,0.10571662960259103
103,1.8627500623464583,0.684124069660902,61.515151515151516,51.367781155015194,1.3702770697539663,0.5883416232866425,0.09882897238256425
104,1.8544297203421594,0.6815948098897934,59.39393939393939,52.88753799392097,1.2293772326721846,0.5661184977926215,0.1134023896523001
105,1.867262962460518,0.6828148320317269,58.484848484848484,50.75987841945289,1.414027789745022,0.5776808089557767,0.11565495591565411
106,1.8608435094356537,0.6832140497863293,58.78787878787879,50.151975683890576,1.2866355307176525,0.5725984343863496,0.10836588412410364
107,1.8539510175585747,0.6824156574904918,60.0,52.88753799392097,1.3745054730967279,0.5827420975397023,0.11443613042244279
108,1.858625940978527,0.6837947525084018,60.0,53.191489361702125,1.356395567873062,0.5629789815146726,0.11442979457138933
109,1.8515116214752196,0.6830277301371097,57.27272727272727,51.367781155015194,1.2853522160909248,0.568491558207114,0.10653618761439627
110,1.859074169397354,0.6839618846774101,58.78787878787879,51.97568389057751,1.4073936418138744,0.6021364628605009,0.10667760407405383
111,1.8464024007320403,0.6817588843405247,58.484848484848484,52.27963525835866,1.2759529481886145,0.5754703422696753,0.1112261703924365
112,1.8505874440073966,0.6823374144732952,59.09090909090909,49.848024316109424,1.3165369673536327,0.5652425595097368,0.11258312535249757
113,1.8611022248864173,0.6823367208242417,57.878787878787875,50.75987841945289,1.3399967242763933,0.577372935030491,0.11808956753998004
114,1.8647938132286073,0.6823939181864261,57.57575757575758,49.848024316109424,1.4210896144638492,0.5943462595121523,0.11169323128460851
115,1.8588573306798934,0.6822120904922485,60.90909090909091,51.97568389057751,1.3408365489337286,0.5790424989442101,0.1153119623579147
116,1.8565678298473358,0.6840137384831906,59.09090909090909,51.06382978723404,1.4398401437721395,0.5759144506773031,0.11069168269745408
117,1.8455788239836692,0.6833863817155361,62.42424242424242,52.88753799392097,1.247004518788917,0.5383719412337324,0.10817812423080657
118,1.8503322780132294,0.6812173657119274,58.484848484848484,53.191489361702125,1.2904876992364425,0.56883013350739,0.11876246424474576
119,1.8483174100518227,0.6817601166665554,60.303030303030305,50.75987841945289,1.3576696736458513,0.5582545323705712,0.11224883281448925
120,1.8459523484110831,0.6826052293181419,59.09090909090909,50.75987841945289,1.2799987351034212,0.5541347573781775,0.1123999853265845
121,1.852349604666233,0.6839978486299515,58.484848484848484,53.191489361702125,1.3948329080916866,0.5877751939017515,0.11061010068822903
122,1.8444834977388382,0.6824091874063015,56.96969696969697,50.75987841945289,1.3481346824582996,0.5712883844807182,0.11253362885688303
123,1.856804360449314,0.6814795002341271,57.27272727272727,52.58358662613982,1.3563983743452126,0.5807034564642436,0.11768746953493972
124,1.8469250723719597,0.6790547832846642,59.39393939393939,50.45592705167173,1.331474656326314,0.5780600279328595,0.12186339918666281
125,1.847437684237957,0.6845011569559574,60.90909090909091,49.848024316109424,1.2495092777851853,0.5789483916451402,0.11029080213829143
126,1.843812707066536,0.6816000074148179,61.21212121212121,52.88753799392097,1.228656804642533,0.5663251924550776,0.11538263860884024
127,1.8489796310663222,0.6821812592446804,56.96969696969697,51.671732522796354,1.323478175293541,0.5574978100032948,0.11265336290968372
128,1.8472465574741364,0.6824731536209583,59.696969696969695,48.632218844984806,1.273879514199011,0.5762582612418856,0.11441783771255401
129,1.8468766674399375,0.6794033944606781,60.303030303030305,51.06382978723404,1.3066351855747378,0.583522720705483,0.11575432569980604
130,1.8488084256649018,0.682510120421648,56.666666666666664,51.671732522796354,1.3087326668558037,0.5721082993203375,0.11515476226481994
131,1.83986437022686,0.681157649308443,59.39393939393939,52.27963525835866,1.3173583778691114,0.5699134173088103,0.1185020276279273
