,precision,recall,f1-score,support
airport,0.4782608695652174,0.3333333333333333,0.39285714285714285,33.0
shopping_mall,0.4642857142857143,0.7878787878787878,0.5842696629213483,33.0
park,0.8,0.36363636363636365,0.5,33.0
street_pedestrian,0.45454545454545453,0.15151515151515152,0.22727272727272727,33.0
street_traffic,0.5454545454545454,0.18181818181818182,0.2727272727272727,33.0
metro_station,0.21428571428571427,0.36363636363636365,0.2696629213483146,33.0
public_square,0.16666666666666666,0.3333333333333333,0.2222222222222222,33.0
metro,0.32786885245901637,0.6060606060606061,0.425531914893617,33.0
bus,0.0,0.0,0.0,33.0
tram,0.1935483870967742,0.18181818181818182,0.1875,33.0
accuracy,0.3303030303030303,0.3303030303030303,0.3303030303030303,0.3303030303030303
macro avg,0.36449162043591027,0.33030303030303027,0.3082043864242645,330.0
weighted avg,0.3644916204359103,0.3303030303030303,0.3082043864242645,330.0
